Player,Pos,Age,Tm,G,MP,FG%,Dist.,% of 2P,% of 0-3,% of 3-10,% of 10-16,% of 16-3P,% of 3P,2P FG%,0-3 FG%,3-10 FG%,10-16 FG%,16-3P FG%,3P FG%,% of 2P assisted,% of 3P assisted,username
Jemerrio Jones,SF,26,LAL,2,15,0.667,2.7,1.000,0.667,0.333,0.000,0.000,0.000,0.667,1.000,0.000,,,,0.500,,jonesje01
Kai Jones,C,21,CHO,21,63,0.643,7.7,0.857,0.500,0.214,0.071,0.071,0.143,0.667,1.000,0.333,0.000,0.000,0.500,0.875,1.000,joneska01
Mason Jones,SG,23,LAL,4,51,0.467,10.5,0.733,0.267,0.400,0.067,0.000,0.267,0.545,0.750,0.500,0.000,,0.250,0.667,0.000,jonesma05
Tre Jones,PG,22,SAS,69,1148,0.490,9.7,0.850,0.307,0.307,0.201,0.035,0.150,0.542,0.615,0.500,0.485,0.583,0.196,0.455,0.800,jonestr01
Tyus Jones,PG,25,MEM,73,1549,0.451,15.2,0.629,0.100,0.241,0.243,0.045,0.371,0.487,0.600,0.496,0.455,0.360,0.390,0.367,0.838,jonesty01
DeAndre Jordan,C,33,TOT,48,622,0.643,1.7,1.000,0.818,0.168,0.007,0.007,0.000,0.643,0.701,0.417,0.000,0.000,,0.793,,jordade01
Cory Joseph,PG,30,DET,65,1600,0.445,14.7,0.608,0.220,0.210,0.065,0.113,0.393,0.465,0.614,0.429,0.346,0.311,0.414,0.416,0.862,josepco01
Georgios Kalaitzakis,SF,23,TOT,13,214,0.463,13.8,0.612,0.269,0.179,0.090,0.075,0.388,0.512,0.667,0.583,0.333,0.000,0.385,0.524,0.800,kalaige01
Frank Kaminsky,C,28,PHO,9,181,0.545,9.2,0.773,0.303,0.394,0.061,0.015,0.227,0.608,0.650,0.577,0.750,0.000,0.333,0.710,1.000,kaminfr01
Luke Kennard,SG,25,LAC,70,1919,0.449,20.8,0.338,0.050,0.086,0.121,0.081,0.662,0.449,0.625,0.455,0.416,0.385,0.449,0.660,0.916,kennalu01
Braxton Key,SF,24,TOT,11,197,0.458,11.0,0.708,0.292,0.292,0.069,0.056,0.292,0.529,0.762,0.476,0.200,0.000,0.286,0.741,0.833,keybr01
George King,SF,28,DAL,4,19,0.000,19.6,0.200,0.000,0.200,0.000,0.000,0.800,0.000,,0.000,,,0.000,,,kingge03
Louis King,SF,22,SAC,10,104,0.319,20.1,0.426,0.021,0.128,0.085,0.191,0.574,0.350,1.000,0.333,0.250,0.333,0.296,0.429,0.750,kinglo02
Corey Kispert,SF,22,WAS,77,1801,0.455,18.1,0.377,0.167,0.132,0.045,0.033,0.623,0.629,0.791,0.515,0.565,0.353,0.350,0.803,0.982,kispeco01
Maxi Kleber,PF,30,DAL,59,1450,0.398,19.9,0.280,0.164,0.051,0.040,0.025,0.720,0.586,0.845,0.278,0.214,0.111,0.325,0.845,0.988,klebima01
Brandon Knight,PG,30,DAL,5,65,0.400,19.4,0.320,0.280,0.040,0.000,0.000,0.680,0.750,0.857,0.000,,,0.235,0.667,0.750,knighbr03
Nathan Knight,PF,24,MIN,37,267,0.511,5.7,0.852,0.591,0.250,0.011,0.000,0.148,0.547,0.673,0.273,0.000,,0.308,0.707,1.000,knighna01
Kevin Knox,SF,22,TOT,30,222,0.365,18.5,0.365,0.153,0.106,0.059,0.047,0.635,0.516,0.769,0.556,0.000,0.250,0.278,0.750,1.000,knoxke01
John Konchar,SG,25,MEM,72,1292,0.515,14.3,0.519,0.332,0.092,0.053,0.042,0.481,0.610,0.736,0.458,0.429,0.182,0.413,0.614,0.923,konchjo01
Furkan Korkmaz,SG,24,PHI,67,1414,0.387,17.4,0.434,0.187,0.149,0.047,0.051,0.566,0.515,0.739,0.314,0.500,0.292,0.289,0.524,0.870,korkmfu01
Luke Kornet,C,26,TOT,15,103,0.481,7.2,0.815,0.519,0.222,0.074,0.000,0.185,0.591,0.643,0.667,0.000,,0.000,0.692,,kornelu01
Vit Krejci,SG,21,OKC,30,690,0.407,17.5,0.413,0.102,0.257,0.012,0.042,0.587,0.522,0.824,0.442,0.000,0.429,0.327,0.556,0.906,krejcvi01
Arnoldas Kulboka,SF,24,CHO,2,5,0.000,23.4,0.000,0.000,0.000,0.000,0.000,1.000,,,,,,0.000,,,kulboar01
Jonathan Kuminga,SF,19,GSW,70,1185,0.513,11.0,0.676,0.341,0.276,0.043,0.015,0.324,0.598,0.771,0.433,0.400,0.286,0.336,0.608,1.000,kuminjo01
Kyle Kuzma,PF,26,WAS,66,2204,0.452,14.8,0.599,0.167,0.260,0.108,0.065,0.401,0.526,0.744,0.498,0.386,0.311,0.341,0.492,0.883,kuzmaky01
Anthony Lamb,SF,24,SAS,2,8,0.000,27.1,0.000,0.000,0.000,0.000,0.000,1.000,,,,,,0.000,,,lamban01
Jeremy Lamb,SF-SG,29,TOT,56,935,0.383,17.4,0.510,0.089,0.202,0.147,0.072,0.490,0.441,0.581,0.400,0.412,0.440,0.324,0.346,0.818,lambje01
Jock Landale,C,26,SAS,54,589,0.495,13.3,0.564,0.368,0.152,0.025,0.020,0.436,0.626,0.707,0.484,0.200,0.750,0.326,0.708,1.000,landajo01
Romeo Langford,SG,22,TOT,48,771,0.435,14.4,0.555,0.204,0.241,0.079,0.031,0.445,0.509,0.718,0.370,0.467,0.333,0.341,0.722,0.966,langfro01
Zach LaVine,SG,26,CHI,67,2328,0.476,15.2,0.599,0.264,0.103,0.086,0.147,0.401,0.534,0.700,0.451,0.343,0.408,0.389,0.350,0.568,lavinza01
Jake Layman,SF,27,MIN,34,231,0.411,14.4,0.521,0.301,0.123,0.055,0.041,0.479,0.579,0.773,0.222,0.250,0.667,0.229,0.682,1.000,laymaja01
